#Proactive Hunt C2 Threat Intelligence Feeds Generated on Threatview[.]io on 16-June-2021. Machine Readable feed available at https://threatview[.]io/Downloads/High-Confidence-CobaltstrikeC2_IP_feed.txt
IP,Date of Detection,Host,Protocol,Beacon Config,Comment
45.147.200.110,24 May 2021 09:00 AM UTC,207.148.65.247.vultr.com,https,"ssl363648.cloudflaressl.com,/j.ad",Generated by Threatview[.]io Proactive Hunter
207.148.65.247,24 May 2021 09:00 AM UTC,,https,"207.148.65.247,/load",Generated by Threatview[.]io Proactive Hunter
120.79.29.153,24 May 2021 09:00 AM UTC,ecs-124-70-89-118.compute.hwclouds-dns.com,https,"120.79.29.153,/ga.js",Generated by Threatview[.]io Proactive Hunter
124.70.89.118,24 May 2021 09:00 AM UTC,,https,"124.70.89.118,/visit.js",Generated by Threatview[.]io Proactive Hunter
43.255.30.192,24 May 2021 09:00 AM UTC,,https,"43.255.30.192,/__utm.gif",Generated by Threatview[.]io Proactive Hunter
114.55.101.153,24 May 2021 09:00 AM UTC,,https,"114.55.101.153,/push",Generated by Threatview[.]io Proactive Hunter
154.220.3.196,24 May 2021 09:00 AM UTC,136.244.81.195.vultr.com,https,"154.220.3.196,/__utm.gif",Generated by Threatview[.]io Proactive Hunter
136.244.81.195,24 May 2021 09:00 AM UTC,202.182.100.166.vultr.com,https,"136.244.81.195,/search/",Generated by Threatview[.]io Proactive Hunter
202.182.100.166,24 May 2021 09:00 AM UTC,,https,"www.googlet.ml,/__utm.gif",Generated by Threatview[.]io Proactive Hunter
45.195.8.100,24 May 2021 09:00 AM UTC,,https,"pro.pro-pay.xyz,/preload",Generated by Threatview[.]io Proactive Hunter
104.243.41.123,24 May 2021 09:00 AM UTC,,https,"cuphq.com,/visit.js,104.243.41.123,/fwlink",Generated by Threatview[.]io Proactive Hunter
23.108.57.27,24 May 2021 09:00 AM UTC,,https,"104.243.46.74,/ca",Generated by Threatview[.]io Proactive Hunter
134.209.117.238,24 May 2021 09:00 AM UTC,52.197.224.35.bc.googleusercontent.com,https,"jude.saintjameschurch.org,/Video",Generated by Threatview[.]io Proactive Hunter
35.224.197.52,24 May 2021 09:00 AM UTC,ec2-18-163-120-26.ap-east-1.compute.amazonaws.com,https,"35.224.197.52,/pixel.gif",Generated by Threatview[.]io Proactive Hunter
18.163.120.26,24 May 2021 09:00 AM UTC,,https,"18.163.120.26,/match",Generated by Threatview[.]io Proactive Hunter
185.120.13.21,24 May 2021 09:00 AM UTC,,https,"185.120.13.21,/_/scs/mail-static/_/js/",Generated by Threatview[.]io Proactive Hunter
172.98.192.94,24 May 2021 09:00 AM UTC,69-49-229-88.unifiedlayer.com,https,"172.98.192.94,/g.pixel",Generated by Threatview[.]io Proactive Hunter
69.49.229.88,24 May 2021 09:00 AM UTC,,https,"69.49.229.88,/ca",Generated by Threatview[.]io Proactive Hunter
